Round,Responder,Response,Correctresponse,Isresponsecorrect,Responsetime,Responsetimestamp,Player1Id,Player1Points,Player1Numeratorrank,Player1Numeratorsuit,Player1Numeratorcardtype,Player1Denominatorrank,Player1Denominatorsuit,Player1Denominatorcardtype,Player1Handvalue,Player2Id,Player2Points,Player2Numeratorrank,Player2Numeratorsuit,Player2Numeratorcardtype,Player2Denominatorrank,Player2Denominatorsuit,Player2Denominatorcardtype,Player2Handvalue
1,player1,swipeRight,swipeRight,correct,3.63,10.0,DSC-1,1,1.0,diamonds,r,5.0,clubs,r,0.2,Computer,0,2.0,spades,r,6.0,spades,r,0.33
2,player2,swipeLeft,swipeLeft,correct,4.96,24.79,DSC-1,1,9.0,diamonds,r,9.0,hearts,r,1.0,Computer,1,4.0,spades,r,6.0,clubs,r,0.67
3,player1,swipeRight,swipeLeft,incorrect,3.09,35.77,DSC-1,1,3.0,diamonds,r,10.0,spades,r,0.3,Computer,2,1.0,clubs,r,9.0,spades,r,0.11
4,player1,tapP1,swipeLeft,incorrect,1.94,42.84,DSC-1,1,6.0,hearts,r,6.0,hearts,r,1.0,Computer,3,2.0,diamonds,r,10.0,hearts,r,0.2
5,player1,swipeRight,swipeRight,correct,1.69,48.61,DSC-1,2,1.0,hearts,r,7.0,clubs,r,0.14,Computer,3,2.0,spades,r,8.0,clubs,r,0.25
6,player1,swipeLeft,swipeLeft,correct,1.57,54.09,DSC-1,3,2.0,clubs,r,3.0,spades,r,0.67,Computer,3,1.0,hearts,r,9.0,clubs,r,0.11
7,player1,swipeRight,swipeRight,correct,2.2800000000000002,60.51,DSC-1,4,3.0,diamonds,r,7.0,diamonds,r,0.43,Computer,3,4.0,hearts,r,9.0,spades,r,0.44
8,player1,swipeLeft,declareWar,incorrect,1.47,65.67,DSC-1,4,4.0,hearts,r,8.0,hearts,r,0.5,Computer,6,4.0,clubs,r,8.0,spades,r,0.5
9,player1,swipeLeft,swipeRight,incorrect,4.28,73.12,DSC-1,4,4.0,diamonds,r,9.0,diamonds,r,0.44,Computer,7,5.0,diamonds,r,8.0,diamonds,r,0.63
10,player1,swipeRight,declareWar,incorrect,1.19,78.06,DSC-1,4,5.0,diamonds,r,8.0,clubs,r,0.63,Computer,10,5.0,spades,r,8.0,spades,r,0.63
11,player1,swipeLeft,swipeRight,incorrect,1.82,83.26,DSC-1,4,4.0,spades,r,6.0,clubs,r,0.67,Computer,11,8.0,hearts,r,10.0,diamonds,r,0.8
12,player1,swipeRight,swipeLeft,incorrect,1.12,87.28,DSC-1,4,7.0,hearts,r,7.0,hearts,r,1.0,Computer,12,1.0,spades,r,7.0,spades,r,0.14
13,player1,swipeLeft,swipeRight,incorrect,2.24,92.29,DSC-1,4,1.0,diamonds,r,9.0,clubs,r,0.11,Computer,13,3.0,clubs,r,7.0,spades,r,0.43
14,player1,tapP1,swipeLeft,incorrect,1.05,99.14,DSC-1,4,5.0,hearts,r,10.0,hearts,r,0.5,Computer,14,2.0,hearts,r,5.0,spades,r,0.4
15,player1,swipeLeft,swipeRight,incorrect,4.86,107.78,DSC-1,4,2.0,clubs,r,10.0,clubs,r,0.2,Computer,15,3.0,spades,r,10.0,diamonds,r,0.3
16,player1,swipeRight,swipeLeft,incorrect,1.27,112.63,DSC-1,4,7.0,clubs,r,8.0,diamonds,r,0.88,Computer,16,1.0,clubs,r,5.0,clubs,r,0.2
17,player1,swipeLeft,swipeRight,incorrect,3.19,119.36,DSC-1,4,3.0,clubs,r,6.0,diamonds,r,0.5,Computer,17,6.0,diamonds,r,7.0,diamonds,r,0.86
18,player1,swipeRight,swipeLeft,incorrect,1.94,125.54,DSC-1,4,2.0,hearts,r,2.0,diamonds,r,1.0,Computer,18,9.0,hearts,r,10.0,spades,r,0.9
19,player1,swipeLeft,swipeLeft,correct,1.44,130.04,DSC-1,5,4.0,spades,r,6.0,clubs,r,0.67,Computer,18,1.0,diamonds,r,2.0,spades,r,0.5
20,player2,swipeLeft,swipeLeft,correct,4.93,141.11,DSC-1,5,9.0,hearts,r,9.0,diamonds,r,1.0,Computer,19,5.0,clubs,r,6.0,spades,r,0.8300000000000001
21,player1,swipeLeft,swipeRight,incorrect,2.27,146.96,DSC-1,5,1.0,clubs,r,10.0,spades,r,0.1,Computer,20,7.0,clubs,r,8.0,clubs,r,0.88
22,player1,swipeRight,swipeRight,correct,2.2800000000000002,155.41,DSC-1,6,3.0,diamonds,r,9.0,spades,r,0.33,Computer,20,1.0,hearts,r,2.0,spades,r,0.5
23,player1,swipeLeft,swipeRight,incorrect,1.69,161.78,DSC-1,6,1.0,hearts,r,9.0,clubs,r,0.11,Computer,21,4.0,hearts,r,7.0,diamonds,r,0.5700000000000001
24,player2,swipeLeft,swipeLeft,correct,4.96,170.88,DSC-1,6,2.0,clubs,r,3.0,spades,r,0.67,Computer,22,3.0,diamonds,r,9.0,spades,r,0.33
25,player1,tapP1,swipeLeft,incorrect,4.18,177.81,DSC-1,6,7.0,hearts,r,7.0,hearts,r,1.0,Computer,23,3.0,hearts,r,8.0,diamonds,r,0.38
26,player1,swipeLeft,swipeRight,incorrect,2.0300000000000002,183.58,DSC-1,6,1.0,spades,r,7.0,spades,r,0.14,Computer,24,4.0,hearts,r,8.0,spades,r,0.5
27,player1,swipeLeft,swipeRight,incorrect,0.79,188.18,DSC-1,6,1.0,clubs,r,8.0,diamonds,r,0.13,Computer,25,5.0,diamonds,r,8.0,hearts,r,0.63
