Round,Responder,Response,Correctresponse,Isresponsecorrect,Responsetime,Responsetimestamp,Player1Id,Player1Points,Player1Numeratorrank,Player1Numeratorsuit,Player1Numeratorcardtype,Player1Denominatorrank,Player1Denominatorsuit,Player1Denominatorcardtype,Player1Handvalue,Player2Id,Player2Points,Player2Numeratorrank,Player2Numeratorsuit,Player2Numeratorcardtype,Player2Denominatorrank,Player2Denominatorsuit,Player2Denominatorcardtype,Player2Handvalue
1,player1,swipeRight,swipeRight,correct,4.26,9.33,JAB-1,1,1.0,hearts,r,9.0,diamonds,r,0.11,Computer,0,1.0,clubs,r,4.0,diamonds,r,0.25
2,player1,swipeRight,swipeRight,correct,4.38,18.16,JAB-1,2,2.0,diamonds,r,10.0,diamonds,r,0.2,Computer,0,3.0,clubs,r,9.0,clubs,r,0.33
3,player2,swipeRight,swipeRight,correct,4.96,26.29,JAB-1,2,1.0,diamonds,r,5.0,hearts,r,0.2,Computer,1,2.0,hearts,r,9.0,hearts,r,0.22
4,player1,swipeRight,swipeRight,correct,2.83,33.44,JAB-1,3,3.0,diamonds,r,7.0,clubs,r,0.43,Computer,1,3.0,spades,r,4.0,clubs,r,0.75
5,player2,swipeRight,swipeRight,correct,4.96,43.06,JAB-1,3,2.0,clubs,r,6.0,clubs,r,0.33,Computer,2,3.0,hearts,r,8.0,spades,r,0.38
6,player1,swipeLeft,swipeLeft,correct,3.35,51.14,JAB-1,4,8.0,hearts,r,10.0,clubs,r,0.8,Computer,2,4.0,spades,r,8.0,diamonds,r,0.5
7,player1,swipeRight,swipeRight,correct,2.98,59.63,JAB-1,5,4.0,hearts,r,7.0,hearts,r,0.5700000000000001,Computer,2,5.0,clubs,r,7.0,diamonds,r,0.71
8,player1,swipeRight,swipeRight,correct,3.11,66.03,JAB-1,6,1.0,spades,r,6.0,diamonds,r,0.17,Computer,2,7.0,spades,r,10.0,spades,r,0.7000000000000001
9,player1,swipeRight,swipeRight,correct,2.65,73.01,JAB-1,7,5.0,spades,r,10.0,hearts,r,0.5,Computer,2,5.0,diamonds,r,8.0,clubs,r,0.63
10,player1,swipeLeft,swipeLeft,correct,3.38,80.56,JAB-1,8,6.0,hearts,r,6.0,spades,r,1.0,Computer,2,2.0,spades,r,9.0,spades,r,0.22
11,player1,swipeLeft,swipeLeft,correct,2.56,88.03,JAB-1,9,8.0,hearts,r,10.0,clubs,r,0.8,Computer,2,4.0,diamonds,r,9.0,diamonds,r,0.44
12,player1,swipeRight,swipeRight,correct,2.43,94.33,JAB-1,10,4.0,spades,r,8.0,diamonds,r,0.5,Computer,2,1.0,clubs,r,1.0,hearts,r,1.0
13,player1,swipeLeft,swipeLeft,correct,1.8,99.8,JAB-1,11,6.0,hearts,r,6.0,spades,r,1.0,Computer,2,2.0,diamonds,r,10.0,diamonds,r,0.2
14,player1,swipeRight,swipeRight,correct,2.61,105.93,JAB-1,12,2.0,spades,r,9.0,spades,r,0.22,Computer,2,3.0,clubs,r,9.0,clubs,r,0.33
15,player1,swipeRight,swipeLeft,incorrect,2.58,112.15,JAB-1,12,4.0,diamonds,r,9.0,diamonds,r,0.44,Computer,3,2.0,hearts,r,5.0,hearts,r,0.4
16,player1,swipeLeft,swipeLeft,correct,2.95,119.07000000000001,JAB-1,13,8.0,hearts,r,10.0,clubs,r,0.8,Computer,3,1.0,diamonds,r,9.0,hearts,r,0.11
