Round,Responder,Response,Correctresponse,Isresponsecorrect,Responsetime,Responsetimestamp,Player1Id,Player1Points,Player1Numeratorrank,Player1Numeratorsuit,Player1Numeratorcardtype,Player1Denominatorrank,Player1Denominatorsuit,Player1Denominatorcardtype,Player1Handvalue,Player2Id,Player2Points,Player2Numeratorrank,Player2Numeratorsuit,Player2Numeratorcardtype,Player2Denominatorrank,Player2Denominatorsuit,Player2Denominatorcardtype,Player2Handvalue
1,player1,swipeRight,swipeLeft,incorrect,3.77,10.4,QOW-1,0,5.0,clubs,n,8.0,spades,n,0.63,Computer,1,3.0,diamonds,n,8.0,clubs,n,0.38
2,player1,swipeLeft,swipeRight,incorrect,2.31,20.43,QOW-1,0,1.0,clubs,n,9.0,clubs,n,0.11,Computer,2,5.0,diamonds,n,10.0,hearts,n,0.5
3,player1,swipeLeft,swipeLeft,correct,2.48,28.85,QOW-1,1,7.0,diamonds,n,7.0,spades,n,1.0,Computer,2,1.0,hearts,n,2.0,hearts,n,0.5
4,player1,swipeLeft,swipeLeft,correct,3.23,39.31,QOW-1,2,4.0,spades,n,7.0,hearts,n,0.5700000000000001,Computer,2,2.0,clubs,n,10.0,spades,n,0.2
5,player1,swipeLeft,swipeLeft,correct,2.42,45.83,QOW-1,3,8.0,diamonds,n,10.0,clubs,n,0.8,Computer,2,2.0,spades,n,6.0,hearts,n,0.33
6,player1,swipeLeft,swipeLeft,correct,3.61,53.7,QOW-1,4,2.0,diamonds,n,4.0,diamonds,n,0.5,Computer,2,3.0,hearts,n,7.0,clubs,n,0.43
7,player1,swipeRight,swipeRight,correct,2.29,59.7,QOW-1,5,1.0,diamonds,n,6.0,spades,n,0.17,Computer,2,4.0,clubs,n,10.0,diamonds,n,0.4
8,player1,swipeLeft,swipeLeft,correct,1.96,66.7,QOW-1,6,3.0,clubs,n,6.0,clubs,n,0.5,Computer,2,1.0,spades,n,8.0,hearts,n,0.13
9,player1,swipeLeft,swipeLeft,correct,2.16,73.08,QOW-1,7,9.0,hearts,n,9.0,spades,n,1.0,Computer,2,3.0,spades,n,4.0,hearts,n,0.75
10,player2,swipeRight,swipeRight,correct,4.96,82.0,QOW-1,7,5.0,hearts,n,9.0,diamonds,n,0.56,Computer,3,5.0,spades,n,6.0,diamonds,n,0.8300000000000001
11,player1,swipeLeft,swipeLeft,correct,1.81,87.68,QOW-1,8,8.0,spades,n,8.0,clubs,n,1.0,Computer,3,1.0,clubs,n,9.0,clubs,n,0.11
12,player1,swipeRight,swipeLeft,incorrect,2.69,94.02,QOW-1,8,3.0,diamonds,n,5.0,clubs,n,0.6,Computer,4,5.0,diamonds,n,10.0,hearts,n,0.5
13,player1,swipeLeft,swipeLeft,correct,2.21,99.9,QOW-1,9,1.0,hearts,n,2.0,hearts,n,0.5,Computer,4,1.0,diamonds,n,6.0,spades,n,0.17
14,player1,swipeLeft,swipeLeft,correct,1.84,105.84,QOW-1,10,7.0,spades,n,7.0,diamonds,n,1.0,Computer,4,4.0,clubs,n,10.0,diamonds,n,0.4
15,player1,swipeRight,swipeRight,correct,2.31,111.84,QOW-1,11,4.0,spades,n,10.0,spades,n,0.4,Computer,4,5.0,hearts,n,6.0,diamonds,n,0.8300000000000001
16,player1,swipeRight,swipeRight,correct,2.64,118.59,QOW-1,12,2.0,clubs,n,7.0,hearts,n,0.29,Computer,4,5.0,spades,n,9.0,diamonds,n,0.56
17,player1,swipeRight,swipeRight,correct,2.71,125.35000000000001,QOW-1,13,2.0,spades,n,6.0,hearts,n,0.33,Computer,4,4.0,spades,n,10.0,spades,n,0.4
18,player1,swipeRight,swipeRight,correct,2.88,134.27,QOW-1,14,8.0,diamonds,n,10.0,clubs,n,0.8,Computer,4,5.0,hearts,n,6.0,diamonds,n,0.8300000000000001
19,player1,swipeLeft,swipeRight,incorrect,4.03,142.37,QOW-1,14,2.0,diamonds,n,7.0,clubs,n,0.29,Computer,5,7.0,hearts,n,9.0,diamonds,n,0.78
20,player1,swipeRight,swipeLeft,incorrect,1.87,147.74,QOW-1,14,3.0,hearts,n,4.0,diamonds,n,0.75,Computer,6,2.0,clubs,n,5.0,spades,n,0.4
21,player1,swipeRight,swipeLeft,incorrect,3.41,154.85,QOW-1,14,6.0,clubs,n,8.0,hearts,n,0.75,Computer,7,2.0,spades,n,6.0,hearts,n,0.33
22,player1,swipeLeft,swipeRight,incorrect,4.74,163.12,QOW-1,14,1.0,spades,n,3.0,clubs,n,0.33,Computer,8,4.0,spades,n,10.0,spades,n,0.4
23,player1,swipeRight,swipeRight,correct,2.84,170.19,QOW-1,15,3.0,spades,n,9.0,hearts,n,0.33,Computer,8,5.0,hearts,n,10.0,clubs,n,0.5
24,player1,swipeRight,swipeRight,correct,2.33,179.21,QOW-1,16,4.0,hearts,n,9.0,spades,n,0.44,Computer,8,6.0,diamonds,n,8.0,diamonds,n,0.75
25,player1,swipeLeft,swipeLeft,correct,1.6300000000000001,186.21,QOW-1,17,8.0,clubs,n,8.0,spades,n,1.0,Computer,8,2.0,diamonds,n,7.0,clubs,n,0.29
