Round,Responder,Response,Correctresponse,Isresponsecorrect,Responsetime,Responsetimestamp,Player1Id,Player1Points,Player1Numeratorrank,Player1Numeratorsuit,Player1Numeratorcardtype,Player1Denominatorrank,Player1Denominatorsuit,Player1Denominatorcardtype,Player1Handvalue,Player2Id,Player2Points,Player2Numeratorrank,Player2Numeratorsuit,Player2Numeratorcardtype,Player2Denominatorrank,Player2Denominatorsuit,Player2Denominatorcardtype,Player2Handvalue
1,player2,swipeLeft,swipeLeft,correct,4.96,9.950000000000001,RBP-1,0,7.0,hearts,s,10.0,spades,s,0.7000000000000001,Computer,1,3.0,clubs,s,5.0,spades,s,0.6
2,player2,swipeLeft,swipeLeft,correct,4.96,22.56,RBP-1,0,3.0,spades,s,4.0,clubs,s,0.75,Computer,2,6.0,hearts,s,10.0,clubs,s,0.6
3,player1,swipeRight,swipeRight,correct,2.2800000000000002,27.92,RBP-1,1,7.0,diamonds,s,9.0,hearts,s,0.78,Computer,2,7.0,clubs,s,8.0,clubs,s,0.88
4,player1,swipeLeft,swipeRight,incorrect,2.96,35.43,RBP-1,1,4.0,spades,s,8.0,spades,s,0.5,Computer,3,9.0,clubs,s,10.0,diamonds,s,0.9
5,player1,swipeRight,swipeRight,correct,3.0500000000000003,43.63,RBP-1,2,1.0,hearts,s,10.0,hearts,s,0.1,Computer,3,3.0,hearts,s,9.0,spades,s,0.33
6,player1,swipeRight,swipeLeft,incorrect,2.48,50.6,RBP-1,2,5.0,clubs,s,7.0,spades,s,0.71,Computer,4,2.0,diamonds,s,5.0,hearts,s,0.4
7,player1,swipeLeft,swipeRight,incorrect,2.7800000000000002,57.27,RBP-1,2,2.0,spades,s,8.0,diamonds,s,0.25,Computer,5,5.0,diamonds,s,8.0,hearts,s,0.63
8,player1,swipeLeft,swipeLeft,correct,2.18,63.45,RBP-1,3,1.0,spades,s,2.0,hearts,s,0.5,Computer,5,1.0,clubs,s,3.0,diamonds,s,0.33
9,player1,swipeRight,swipeRight,correct,1.87,69.07000000000001,RBP-1,4,1.0,diamonds,s,6.0,spades,s,0.17,Computer,5,6.0,clubs,s,9.0,diamonds,s,0.67
10,player1,swipeLeft,swipeLeft,correct,2.22,75.13,RBP-1,5,4.0,hearts,s,6.0,diamonds,s,0.67,Computer,5,2.0,clubs,s,4.0,diamonds,s,0.5
11,player1,swipeRight,swipeRight,correct,3.3000000000000003,81.95,RBP-1,6,5.0,spades,s,7.0,hearts,s,0.71,Computer,5,7.0,diamonds,s,9.0,hearts,s,0.78
12,player1,swipeRight,swipeRight,correct,1.71,87.67,RBP-1,7,3.0,clubs,s,10.0,spades,s,0.3,Computer,5,7.0,clubs,s,8.0,clubs,s,0.88
13,player1,swipeRight,swipeRight,correct,1.95,93.09,RBP-1,8,3.0,spades,s,10.0,clubs,s,0.3,Computer,5,9.0,clubs,s,10.0,diamonds,s,0.9
14,player1,swipeLeft,swipeLeft,correct,2.06,98.92,RBP-1,9,4.0,clubs,s,6.0,hearts,s,0.67,Computer,5,4.0,spades,s,8.0,spades,s,0.5
15,player1,swipeLeft,swipeLeft,correct,1.41,103.79,RBP-1,10,5.0,clubs,s,5.0,hearts,s,1.0,Computer,5,1.0,hearts,s,9.0,spades,s,0.11
16,player1,swipeRight,swipeRight,correct,1.61,109.17,RBP-1,11,2.0,diamonds,s,7.0,spades,s,0.29,Computer,5,3.0,hearts,s,10.0,hearts,s,0.3
17,player1,swipeRight,swipeLeft,incorrect,2.75,114.85000000000001,RBP-1,11,1.0,spades,s,3.0,diamonds,s,0.33,Computer,6,2.0,spades,s,8.0,hearts,s,0.25
18,player1,swipeRight,swipeRight,correct,1.56,120.4,RBP-1,12,1.0,clubs,s,2.0,hearts,s,0.5,Computer,6,5.0,diamonds,s,8.0,diamonds,s,0.63
