label	fruit	width	color_score
-1	lemon	7.1	0.69
-1	lemon	6.8	0.71
1	orange	9.0	0.75
1	orange	9.2	0.75
1	orange	9.6	0.74
1	orange	7.5	0.77
1	orange	7.0	0.81
1	orange	7.1	0.79
1	orange	7.8	0.82
1	orange	7.2	0.80
1	orange	7.5	0.75
1	orange	7.6	0.75
1	orange	8.0	0.76
1	orange	7.1	0.76
1	orange	7.3	0.79
1	orange	7.2	0.77
1	orange	7.1	0.78
1	orange	7.6	0.79
1	orange	7.2	0.82
1	orange	6.7	0.80
1	orange	8.0	0.80
1	orange	6.3	0.82
-1	lemon	5.8	0.73
-1	lemon	6.0	0.71
-1	lemon	6.0	0.72
-1	lemon	5.9	0.72
-1	lemon	6.0	0.74
-1	lemon	6.1	0.71
-1	lemon	6.3	0.72
-1	lemon	5.9	0.73
-1	lemon	6.5	0.72
-1	lemon	6.1	0.70
-1	lemon	6.5	0.70
-1	lemon	6.5	0.71
-1	lemon	6.6	0.70
-1	lemon	6.6	0.71
-1	lemon	6.1	0.68
-1	lemon	6.4	0.70
-1	lemon	6.1	0.68
-1	lemon	7.5	0.68
-1	lemon	7.4	0.67
-1	lemon	6.7	0.67
